"idno","Admin Agency","email","url","year","approp_title","fund_code","eligibility","bond_sale_date","bond_series_number","amount_of_bond","category","subcategory","county","state_amount","chapter_section","reversion_date","valid_encumbrance_amount","expended_amount","aipp_amount_bof","reversion_amount","appropriation_balance","last_update","icip_project_number","icip_priority_number","local_fiscal_agent","amount_obligated","project_end_date","expended_amount_state","aipp_amount","reauth_of_balance_to_new","reauth_to_project_number","reversion_amount_two","project_status","goal_milestone_last_quarter","goal_milestone_next_quarter","project_phase","current_balance","last_agency_update","last_submission_date","expended_amount_local","current_balance_local","project_status_local","project_phase_local","goal_milestone_last_quarter_local","goal_milestone_next_quarter_local","valid_contracts_in_place","no_activity_for_month","last_submission_date_local","last_update_local"
"13-1622","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1622","2013","ALB ALTAMONTE LITTLE LEAGUE PARK INFRA IMPROVE","SEVERANCE TAX BONDS","","7/23/13","STB13A","110000","Local","Community Facilities","Bernalillo","110000","226 / 31/ 17","6/30/17","0","0","0","0","110000","5/26/15 0:00","","/","02000 - Bernalillo County","0","***","0","0","0","","0","Bond Sale STB13 A
02/03/2014 - requested copy of lease/operating agreement from county
02/04/2014 county provided agreement with Altamonte. 
3/03/2014 AD issues cleared
3-19/2014 GA fully executed
  Grant Agreement Executed       03/19/2014","","","0150 - Grant Agreement Issued","110000","12/15/14 16:33","12/15/14 16:33","5410815","0","Phase II to begin following the spring 2015 season. Funds will be combined with 2014 legislative grant 14-1882. n the process of obtaining quotes for field improvements such as artificial turf installation to the infield.  CSC/JB/DMD 5/27/2015","","Field extension for junior field completed 3/2015.","Secure quotes for infield improvements from Bernalill Countys on-call landscape contractors.","FALSE","FALSE","5/27/15 0:00","5/27/15 0:00"
"13-1283","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1283","2013","APACHE ELEM SCHL FURNISH & EQUIP","SEVERANCE TAX BONDS","","7/23/13","STB13A","10000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","10000","226 / 18/ 32","6/30/16","0","9979","0","21","0","5/26/15 0:00","131283","2013 /","02112 - Albuquerque Public Schools","0","***","9979","0","0","","21","complete","","","0250 - Project Closed","0","5/26/15 0:00","1/1/80 0:00","9979","21","Expended Amount 9,979 Revert Amount: 21.00","","Expended $9,979.00","Project Closed","TRUE","FALSE","8/28/14 0:00","8/28/14 0:00"
"13-1367","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1367","2013","TAFT MID SCHL SECURITY CAMERAS & INFO TECH","SEVERANCE TAX BONDS","","7/23/13","STB13A","60000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","60000","226 / 18/122","6/30/16","0","59973","0","27","0","5/26/15 0:00","","2013 /","02112 - Albuquerque Public Schools","0","***","59973","0","0","","27","complete","","","0250 - Project Closed","0","5/26/15 0:00","1/1/80 0:00","59973","27","Expended Amount: 59,972.90 Revert: 27.10","","Expended Amount:$59,972.90","Project Closed","TRUE","FALSE","8/29/14 0:00","8/29/14 0:00"
"13-1430","Office of the State Engineer","mailto:curtis.eckhart@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1430","2013","UNION CO REGIONAL AQUIFER SYSTEM HYDROLOGIC STUDY","SEVERANCE TAX BONDS","","7/23/13","STB13A","25000","Local","Acequias & Dams (rivers, conservation)","Union","25000","226 / 21/11","6/30/17","0","0","0","0","25000","5/26/15 0:00","","/","18000 - Union County","0","***","0","0","0","","0","Project in progress, awaiting submittal of deliverables for review.","Discussed project with Grantee and third-party contractor, requested deliverables, received and reviewed project status report and partial deliverables.","Receive and review final project deliverables.","0210 - Project in Design","25000","5/26/15 0:00","12/15/14 0:00","0","0","","","","","","","",""
"13-1176","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1176","2013","CHURCH ROCK CHP SENIOR CTR","SEVERANCE TAX BONDS","","7/23/13","STB13A","193500","Local","Senior Citizens","McKinley","193500","226 /  5/16","6/30/17","0","0","0","0","193500","5/26/15 0:00","","/","13019 - Navajo Nation","0","***","0","0","0","","0","Grant agreement is fully executed; special conditions met 8/25/14.   Funds will be used to plan, design and build a conventional building to include a kitchen, pantry, rooms: laundry, activity, dining, fitness, isolation room, doctors office and space with necessary equipment, paved parking lot","Architect is ready to proceed once.  NOO issued to LAM Corporation for $147,367.50 on 02/11/2015.  Seeking an additional $1.8 million in GOB funds","Commence with constrution of project.  Monitor the project progress","0210 - Project in Design","193500","5/26/15 0:00","3/16/15 0:00","0","193500","5/14/15BW 3rd party contract  AIA  is fully executed for A/E Services, notice to proceed has been issued to LAM Corporation and scheduled of work has been forwarded to NMALTSD.  2/5/15BW 3rd party contract lacking three  3  affidavits and project schedule to complete packet for AIA B101-2007 to start 164 process. 1/10/15BW as of December 2014  AIA contract in draft format with LAM Corporation to do A/Eservices, LAM Corporation revised cost from May 2014.","","5/14/15 contract completed 164 review process and notice to proceed issued to contractor.  Revised copy of the A/E cost has been received by Navajo Nation Design & Engineer Services","5/14/15 A/E to commence and completed according to time frame submitted by contractor.  To finalize AIA contract with LAM Corporation","FALSE","FALSE","5/14/15 0:00","5/14/15 0:00"
"13-1747","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1747","2013","NORTH CENTRAL REGIONAL TRANSIT DIST BUSES","SEVERANCE TAX BONDS","","7/23/13","STB13A","170500","Local","Vehicles (buses, trucks, heavy equipment, etc.)","Rio Arriba","170500","226 / 31/155","6/30/16","0","161188","0","0","9312","5/26/15 0:00","131747","1-Jan","2321","0","***","161188","0","0","","0","GA Executed 12/13/13
Requested W9 & Signature Cards 1/2/14
4/7/14 - left message for grantee, checking 3rd party obligation status
4/15/14 - sent Notice of Obligation to grantee
7/7/14 - Pay Request #1 received
  0150-Grant Agreement Issued    11/06/2013
  Grant Agreement Executed       12/13/2013
  0200-Purchase In Progress      04/15/2014","","","0200 - Purchase in Process","9312","12/15/14 16:33","12/15/14 16:33","161188","9312","Ongoing","","Purchased 2 buses on 5-1-14","NCRTD will purchase an additional bus in May 2014 utilizing District funds and the balance of the capital appropriation of $9,312.","TRUE","TRUE","12/14/14 0:00","1/6/15 0:00"
"13-1397","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1397","2013","LOS ALAMOS MID SCHL LOCKER ROOM WALLS IMPROVE","SEVERANCE TAX BONDS","","7/23/13","STB13A","50000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Los Alamos","50000","226 / 18/155","6/30/17","0","46328","0","0","3672","5/26/15 0:00","","/","32002 - Los Alamos Public Schools","0","***","46328","0","0","","0","IN PROGRESS","","","0220 - Project in Construction","3672","5/26/15 0:00","1/1/80 0:00","0","0","200","","","","FALSE","FALSE","1/1/80 0:00","5/26/15 0:00"
"13-1589","Office of the State Engineer","mailto:curtis.eckhart@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1589","2013","LOS PINOS DITCH IMPROVE","SEVERANCE TAX BONDS","","7/23/13","STB13A","25000","Local","Acequias & Dams (rivers, conservation)","Sandoval","25000","226 / 29/22","6/30/17","0","0","0","0","25000","5/26/15 0:00","","/","29057 - Los Pinos Acequia Association","0","***","0","0","0","","0","Met all EO certifications, CIP agreement executed. Funds encumbered. Construction underway.","","","0220 - Project in Construction","25000","5/26/15 0:00","3/27/15 0:00","0","0","","","","","","","",""
"12-1401","Interstate Stream Commission","","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1401","2012","ACEQUIA DE LA POSECION LINING - TRUCHAS","SEVERANCE TAX BONDS","","6/21/12","STB12A","15000","Local","Acequias & Dams (rivers, conservation)","Rio Arriba","15000","64 / 15/ 11","6/30/16","0","0","0","0","0","5/26/15 0:00","","/","","0","***","0","0","15000","13-1131","0","Reauthorized to 13-1131 Expanded purpose","","","REAUT - Funds reauthorized for another","0","5/26/15 0:00","6/3/13 0:00","0","0","","","","","","","",""
"13-1686","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1686","2013","DONA ANA BALLPARK LIGHTING IMPROVE","SEVERANCE TAX BONDS","","7/23/13","STB13A","90000","Local","Community Facilities","Dona Ana","90000","226 / 31/ 86","6/30/17","8938","2732","0","0","87268","5/26/15 0:00","26982","2015 / 022","07000 - Dona Ana County","0","***","2732","0","0","","0","Bond Sale STB13A
Anti Donation Issues Cleared
1-24-14 Grant Issue Sent out 
2/27/2014 Grant Fully Executed
  0150-Grant Agreement Issued    02/05/2014
  Grant Agreement Executed       02/28/2014","","","0100 - Appropriated","87268","12/15/14 16:33","12/15/14 16:33","2732","87268","Period ending May 30, 2013: Submitted STB questionnaire

Period ending June 30, 2013: Pending grant agreement.
Period ending July 30, 2013: Pending grant agreement.
Period ending August 30, 2013: No change in status.
Period ending September 30, 2013: Received notification that grant agreement was placed on hold due to anti-donation issues that need to be cleared. A letter dated September 25, 2013 was submitted to DFA to request clearance. 
Period ending October 30, 2013: Still waiting for clearance request response from DFA and issuance of grant agreement.
Period ending December 30, 2013: Have not received the grant agreement. All clearance documentation provided to DFA.  
Period ending January 30, 2014: Received grant agreement and are now processing for signatures. 
Period ending April 30, 2014: Set up grant file and contracted with Bohannan Huston, Inc. for lighting design. 
Period ending May 30, 2014: Project design is approximately 5 percent complete.
Period ending June 30,2014: Preliminary design is currently approximately 40 percent complete. Reimbursement request No. 1 in the amount of  2,732.09 is being submitted. 
Period ending July 30, 2014: Plan and design is in process by Bohannan Huston, Inc. Design is approximately 60 percent complete.   
Period ending August 30, 2014: Design is 95 percent complete. Obtaining quotes from CES vendor to task the project for construction.","","Design is near complete at approximately 95 percent. Obtaining quotes from CES vendor to task for construction.","Complete design and begin approval process of construction task order/contract.","TRUE","FALSE","1/1/80 0:00","9/5/14 0:00"
"13-1483","Environment Department","mailto:edith.gallegos1@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1483","2013","ELIDA TRASH TRUCK CONTAINER/EQUIP","SEVERANCE TAX BONDS","","12/30/13","2013S-D","164000","Local","Utility & Solid Waste (power, landfills, equipment, etc.)","Roosevelt","164000","226 / 23/53","6/30/16","0","161100","0","0","2900","5/26/15 0:00","131483","2013 / 1","11003 - Elida","0","***","161100","0","0","","0","3/13/15: Project is closed out.  Elida has put in a request to have the remaining balance reauthorized (AP).","The grant agreement was executed.  The town purchased a trash truck.","Close out grant.","0230 - Substantial Completion - Closeout","2900","5/26/15 0:00","3/16/15 0:00","0","0","Bid is done for the trash truck and awarded. A PO  has been issued, and an invoice is done","","Bid completed and approved, PO# issued to awarded company, invoice produced truck has been delivered.","Pay off invoice for the truck, purchase new dumpsters for the down to compete project agreement.","TRUE","TRUE","1/1/80 0:00","6/3/14 0:00"
"13-1864","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1864","2013","TSA-YA-TOH CHP ADMIN COMPLEX ROAD IMPROVE","SEVERANCE TAX BONDS","","12/30/13","2013S-D","50000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","McKinley","50000","226 / 36/52","6/30/17","0","0","0","0","50000","5/26/15 0:00","","/","13000 - McKinley County","50000","6/30/17","0","0","0","","0","Grant Agreement D14375 executed on 4/18/2014","Grant agreement issued","Receive Notice of Obligation to create PO","0150 - Grant Agreement Issued","50000","5/26/15 0:00","3/26/15 0:00","0","50000","Received executed contract/agreement from NMDOT. 4/29/2015.","","","To issue Notice of Award and Notice to Proceed","FALSE","FALSE","1/1/80 0:00","4/29/15 0:00"
"13-1505","Environment Department","mailto:edith.gallegos1@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1505","2013","ALAMO CHP WATER SYSTEM PHASE 3","SEVERANCE TAX BONDS","","12/30/14","STB14SA","100000","Local","Water & Wastewater (water lines, wells, sewer, treatment, etc.)","Socorro","100000","226 / 23/77","6/30/17","0","0","0","0","100000","5/26/15 0:00","","/","25003 - Alamo Chapter","0","***","0","0","0","","0","3/11/15: No change, grant agreement mailed to NN on 9/18/14  waiting on NN to return project description/scope along with signed agreement.  NN Water Management Branch will be lead agency on project.","Mailed out grant agreement to Navajo Nation.","Get project description from NN and execute grant agreement.","0130 - Budgeted","100000","5/27/15 0:00","3/16/15 0:00","0","100000","Currently, NNWMB will be assisting on project description and scope of work that will be turn in to NMIAD.","","xx","Grant Agreement with both NMIAD and NN will be executed.","FALSE","TRUE","1/1/80 0:00","5/29/15 0:00"
"13-1704","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1704","2013","ARTESIA GUADALUPE PARK IMPROVE","SEVERANCE TAX BONDS","","12/30/13","2013S-D","50000","Local","Community Facilities","Eddy","50000","226 / 31/106","6/30/17","0","0","0","0","50000","5/26/15 0:00","","/","03001 - Artesia","0","***","0","0","0","","0","2/6/14 - 2013S-D sale; pending audit status
3/20/14 - Grant Agreement Issued & mailed to A. Hobson
3/27/14 - Grant Agreement Fully Executed
  Grant Agreement Executed       03/28/2014
  0210-Design/Plan               01/05/2015","","","0210 - Project In Design","50000","3/18/15 10:05","3/18/15 10:05","0","0","working on first pay reimbursement","","","","FALSE","FALSE","1/1/80 0:00","5/5/15 0:00"
"13-1649","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1649","2013","ALB W CENTRAL METRO REDEVEL DIST CMTY DEVEL FCLTY","SEVERANCE TAX BONDS","","7/23/13","STB13A","40000","Local","Economic Development","Bernalillo","40000","226 / 31/ 44","6/30/17","0","0","0","0","40000","5/26/15 0:00","","/","02100 - Albuquerque","0","***","0","0","0","","0","2/7/14 - Reviewed file - No apparent activity since grant execution on 10/17/13  - SL
  0150-Grant Agreement Issued    10/17/2013","","","0150 - Grant Agreement Issued","40000","12/15/14 16:33","12/15/14 16:33","0","40000","1st Quarter 2015-the infrastructure improvements scoped in grant will be used in  conjunction with the redevelopment of a city-owned economic development project at 57th and Central Ave. the project is scheduled for solicitations.  2nd Quarter-Contract for development negotiated and finalized.","","1st Quarter 2015-the infrastructure improvements scoped in grant will be used in  conjunction with the redevelopment of a city-owned economic development project at 57th and Central Ave. the project is scheduled for solicitations.","2nd Quarter-Contract for development negotiated and finalized.","FALSE","FALSE","4/30/15 0:00","5/1/15 0:00"
